instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,lag
0,3/1/2011,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,985
1,4/1/2011,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,801
2,5/1/2011,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,1349
3,6/1/2011,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,1562
4,7/1/2011,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,1600
5,8/1/2011,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,1606
6,9/1/2011,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,1510
7,10/1/2011,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,959
8,11/1/2011,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,822
9,12/1/2011,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,1321
10,13/1/2011,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,1263
11,14/1/2011,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,1162
12,15/1/2011,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,1406
13,16/1/2011,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,1421
14,17/1/2011,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,1248
15,18/1/2011,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,1204
16,19/1/2011,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,1000
17,20/1/2011,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,683
18,21/1/2011,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,1650
19,22/1/2011,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,1927
20,23/1/2011,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,1543
21,24/1/2011,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,981
22,25/1/2011,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,986
23,26/1/2011,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,1416
24,27/1/2011,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,1985
25,28/1/2011,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,506
26,29/1/2011,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,431
27,30/1/2011,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,1167
28,31/1/2011,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,1098
29,1/2/2011,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,1096
30,2/2/2011,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,1501
31,3/2/2011,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,1360
32,4/2/2011,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,1526
33,5/2/2011,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,1550
34,6/2/2011,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,1708
